Rank,Position,Name,Team,Fantasy Points,Fantasy Points per Game
124,WR,Allen Robinson II,PIT,121.9,7.2
125,WR,Adam Thielen,CAR,122.3,8.0
126,WR,Keenan Allen,LAC,122.6,8.4
127,TE,Greg Dulcich,DEN,120.2,8.2
128,TE,Tyler Conklin,NYJ,120.5,7.3
129,WR,Trenton Irwin,CIN,119.4,7.0
130,RB,Rachaad White,TB,119.4,8.2
131,RB,Dalvin Cook,NYJ,115.5,7.8
132,RB,Jerick McKinnon,KC,116.5,7.1
133,WR,Ben Skowronek,LAR,115.0,6.8
134,WR,Van Jefferson,LAR,114.4,7.9
135,WR,Darius Slayton,NYG,114.4,7.9
136,WR,Hunter Renfrow,LV,115.3,8.1
137,RB,Chuba Hubbard,CAR,114.4,7.3
138,WR,Terrace Marshall Jr.,CAR,112.9,6.6
139,WR,DeVante Parker,NE,110.8,7.9
140,WR,Kalif Raymond,DET,110.9,6.6
141,RB,Devin Singletary,HOU,108.9,7.3
142,RB,Samaje Perine,DEN,109.2,6.9
143,TE,Jelani Woods,IND,106.5,7.3
144,TE,Noah Fant,SEA,106.1,6.9
145,WR,Alec Pierce,IND,105.9,7.3
146,WR,Greg Dortch,ARI,106.3,7.5
147,WR,Marquez Valdes-Scantling,KC,107.1,7.2
148,RB,JaMycal Hasty,JAC,105.9,6.2
149,TE,Kyle Pitts,ATL,104.9,7.2
150,TE,Taysom Hill,NO,103.5,7.6
151,RB,Chase Edmonds,TB,103.9,8.0
152,RB,Raheem Mostert,MIA,102.6,7.5
153,TE,Hunter Henry,NE,101.3,6.2
154,WR,Darnell Mooney,CHI,101.6,7.3
155,WR,Nick Westbrook-Ikhine,TEN,98.7,5.8
156,WR,Laviska Shenault Jr.,CAR,98.9,5.8
157,TE,Foster Moreau,NO,96.9,5.9
158,WR,Jauan Jennings,SF,96.9,5.8
159,RB,Gus Edwards,BAL,97.1,7.1
160,WR,Demarcus Robinson,LAR,94.4,5.6
161,WR,Wan'Dale Robinson,NYG,93.9,6.3
162,WR,Kadarius Toney,KC,93.2,6.9
163,TE,Chigoziem Okonkwo,TEN,91.6,5.7
164,TE,Mike Gesicki,NE,90.4,5.5
165,WR,Treylon Burks,TEN,90.4,5.8
166,RB,Tyler Allgeier,ATL,91.2,5.9
167,TE,MyCole Pruitt,ATL,88.8,5.2
168,TE,Cade Otton,TB,89.0,5.5
169,TE,Will Dissly,SEA,88.6,5.5
170,WR,Kendrick Bourne,NE,89.3,5.5
171,WR,Quez Watkins,PHI,88.4,5.3
172,WR,Jonathan Mingo,CAR,87.4,5.1
173,WR,Kendall Hinton,DEN,87.2,5.1
174,WR,Tutu Atwell,LAR,86.0,5.5
175,WR,Michael Gallup,DAL,85.6,5.3
176,WR,Samori Toure,GB,84.9,5.0
177,RB,Elijah Mitchell,SF,85.0,6.8
178,WR,Ashton Dulin,IND,81.2,4.8
179,TE,Sam LaPorta,DET,79.1,4.7
180,TE,Colby Parkinson,SEA,79.8,4.7
181,WR,Tre'Quan Smith,NO,79.9,5.3
182,TE,Donald Parham Jr.,LAC,78.1,4.6
183,TE,Albert Okwuegbunam,DEN,78.3,5.0
184,RB,Joshua Kelley,LAC,79.2,5.4
185,TE,Logan Thomas,WAS,77.3,5.6
186,WR,Tyquan Thornton,NE,78.1,5.7
187,WR,Jamal Agnew,JAC,77.4,4.6
188,WR,Dezmon Patmon,BUF,74.8,4.4
189,WR,Sterling Shepard,NYG,73.1,5.8
190,WR,Chase Claypool,CHI,73.0,5.0
191,RB,David Montgomery,DET,73.9,4.9
192,WR,Corey Davis,NYJ,72.0,5.3
193,RB,Marlon Mack,ARI,72.5,4.7
194,RB,Kendre Miller,NO,72.2,4.2
195,TE,Teagan Quitoriano,HOU,69.9,4.1
196,TE,Eric Saubert,MIA,70.2,4.1
197,WR,Jalen Nailor,MIN,69.9,4.1
198,WR,Velus Jones Jr.,CHI,69.5,4.1
199,RB,Zack Moss,IND,67.8,4.2
200,RB,Tyjae Spears,TEN,68.5,4.0
201,TE,Trey McBride,ARI,67.2,4.9
202,TE,Noah Gray,KC,66.5,3.9
203,WR,Shi Smith,CAR,66.2,3.9
204,WR,River Cracraft,MIA,66.3,3.9
205,RB,Corey Clement,ARI,66.3,3.9
206,RB,C.J. Ham,MIN,65.5,3.9
207,WR,Equanimeous St. Brown,CHI,64.5,4.0
208,TE,Mo Alie-Cox,IND,62.5,3.8
209,WR,Dante Pettis,CHI,63.1,3.8
210,WR,Lawrence Cager,NYG,61.1,3.6
211,WR,Dyami Brown,WAS,62.0,3.8
212,RB,Ezekiel Elliott,NE,61.7,4.5
213,TE,Jonnu Smith,ATL,57.6,4.1
214,WR,Ray-Ray McCloud III,SF,58.1,3.4
215,WR,Justin Watson,KC,56.8,3.4
216,TE,C.J. Uzomah,NYJ,54.6,3.8
217,WR,Brandon Johnson,DEN,55.1,3.2
218,RB,Royce Freeman,LAR,55.8,3.3
219,TE,Peyton Hendershot,DAL,53.2,3.1
220,WR,Anthony Schwartz,CLE,52.6,3.1
221,WR,David Bell,CLE,53.5,3.1
222,WR,Khalil Shakir,BUF,54.4,3.3
223,TE,Jody Fortson,KC,51.4,3.0
224,WR,KhaDarel Hodge,ATL,51.3,3.0
225,TE,John Bates,WAS,49.7,2.9
226,WR,Jalen Guyton,LAC,50.0,2.9
227,TE,Johnny Mundt,MIN,48.5,2.9
228,WR,Kyle Philips,TEN,48.9,2.9
229,TE,Ian Thomas,CAR,47.0,2.8
230,WR,Skyy Moore,KC,46.9,3.2
231,TE,Brevin Jordan,HOU,43.8,2.8
232,TE,Durham Smythe,MIA,44.7,2.9
233,TE,Josiah Deguara,GB,42.3,2.6
234,WR,Keelan Cole Sr.,LV,42.6,2.5
235,RB,James Robinson,NYG,42.3,2.6
236,TE,Jordan Akins,CLE,38.3,2.3
237,TE,Connor Heyward,PIT,38.5,2.3
238,TE,Josh Oliver,MIN,38.7,2.4
239,WR,Andre Baccellia,ARI,39.1,2.3
240,WR,Jameson Williams,DET,39.4,2.6
241,TE,Zach Gentry,PIT,37.1,2.2
242,WR,Deven Thompkins,TB,36.7,2.2
243,WR,Jalen Virgil,DEN,37.6,2.2
244,RB,Ameer Abdullah,LV,38.0,2.3
245,WR,David Sills V,NYG,36.7,2.2
246,WR,Cedrick Wilson Jr.,MIA,34.5,2.0
247,RB,Clyde Edwards-Helaire,KC,33.2,2.4
248,WR,Simi Fehoko,DAL,30.6,1.8
249,WR,Dennis Houston,DAL,30.6,1.8
250,RB,Trayveon Williams,CIN,31.6,1.9
251,RB,Keaontay Ingram,ARI,29.3,1.7
252,WR,Racey McMath,TEN,27.2,1.6
253,WR,Austin Trammell,LAR,28.0,1.6
254,TE,Dawson Knox,BUF,25.1,1.7
255,WR,Mike Strachan,IND,25.2,1.5
256,WR,Jalen Reagor,MIN,25.6,1.6
257,RB,Kenneth Gainwell,PHI,25.5,1.6
258,WR,Cade Johnson,SEA,24.4,1.4
259,RB,Michael Carter,NYJ,22.5,1.4
260,RB,Darrynton Evans,BUF,23.3,1.4
261,TE,Hayden Hurst,CAR,21.8,1.5
262,WR,Keith Kirkwood,NO,21.5,1.3
263,RB,DeeJay Dallas,SEA,22.1,1.3
264,TE,Robert Tonyan,CHI,20.9,1.3
265,WR,Dee Eskridge,SEA,20.5,1.2
266,WR,Tylan Wallace,BAL,20.9,1.3
267,WR,Michael Woods II,CLE,19.1,1.1
268,WR,James Proche II,BAL,20.1,1.2
269,RB,Cordarrelle Patterson,ATL,20.3,1.5
270,RB,Travis Homer,CHI,19.7,1.2
271,TE,Kylen Granson,IND,17.8,1.1
272,TE,Tommy Tremble,CAR,17.6,1.0
273,TE,Brock Wright,DET,18.2,1.1
274,TE,Austin Hooper,LV,17.3,1.1
275,WR,Dax Milne,WAS,17.8,1.0
276,WR,Tyrie Cleveland,PHI,16.3,1.0
277,RB,Kyren Williams,LAR,17.1,1.1
278,RB,Mike Boone,HOU,17.5,1.0
279,TE,Adam Trautman,DEN,15.7,1.0
280,WR,Gunner Olszewski,PIT,16.1,0.9
281,RB,Ke'Shawn Vaughn,TB,16.8,1.0
282,RB,Matt Breida,NYG,16.5,1.0
283,WR,Tim Jones,JAC,14.6,0.9
284,WR,Trent Taylor,CIN,14.6,0.9
285,WR,Ihmir Smith-Marsette,KC,10.6,0.6
286,RB,Demetric Felton Jr.,CLE,10.2,0.6
287,WR,Montrell Washington,DEN,8.5,0.5
288,RB,Kene Nwangwu,MIN,7.8,0.5
289,RB,Patrick Taylor Jr.,GB,7.8,0.5
290,WR,Danny Gray,SF,6.1,0.4
